CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Sur;28041411;IES;ALTAIR;Carretera De Getafe-leganés, S/n ;Getafe;-;28904;916831621;-;ies.altair.getafe@educa.madrid.org;-;Público;
Madrid-Norte;28025129;IES;ALTO JARAMA;Calle Caja Ahorros Y Monte De Piedad, 13 ;Torrelaguna;-;28180;918485654;918430864;ies.altojarama.torrelaguna@educa.madrid.org;-;Público;
Madrid-Capital;28079370;IES;ANA FRANK;Calle Del Arroyo De Pozuelo ;Madrid;Moncloa-Aravaca;28023;638218736;-;ies.anafrank.madrid@educa.madrid.org;-;Público;
Madrid-Este;28057209;IES;ANA MARIA MATUTE;Calle Olivar, 14 ;Velilla de San Antonio;-;28891;916608987;916551596;ies.anammatute.velilla@educa.madrid.org;-;Público;
Madrid-Norte;28036991;IES;ANGEL CORELLA;Calle Del Pradillo, 3 ;Colmenar Viejo;-;28770;918455650;918463022;ies.angelcorella.colmenarviejo@educa.madrid.org;-;Público;
Madrid-Este;28044768;IES;ANSELMO LORENZO;Avenida Abogados De Atocha, 4 ;San Martín de la Vega;-;28330;918087800;918958064;ies.anselmolorenzo.sanmartindelavega@educa.madrid.org;-;Público;
Madrid-Este;28064007;IES;ANTARES;Calle Fernando Trueba, 10 ;Rivas-Vaciamadrid;-;28521;914996934;914996936;ies.antares.rivas@educa.madrid.org;-;Público;
Madrid-Sur;28042671;IES;ANTONIO DE NEBRIJA;Avenida De La O.n.u., 83 ;Móstoles;-;28936;916466443;916465334;ies.antoniodenebrija.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28037031;IES;ANTONIO DOMINGUEZ ORTIZ;Calle De Los Andaluces, 36 ;Madrid;Puente de Vallecas;28038;913033235;913808187;ies.antoniodomingue.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28078559;IES;ANTONIO FRAGUAS FORGES;Calle Leganés, 20 ;Madrid;Arganzuela;28045;918175930;911911472;ies.forges.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28042085;IES;ANTONIO GALA;Calle Hermanos Grimm, 3 ;Móstoles;-;28935;916145263;916184304;ies.antoniogala.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28041391;IES;ANTONIO GAUDI;Calle Del Júcar, 1 ;Coslada;-;28823;916733314;916733427;ies.antoniogaudi.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28042061;IES;ANTONIO LOPEZ GARCÍA;Calle De Los Arquitectos, 39 ;Getafe;-;28903;916835621;916835580;ies.antoniolopezgarcia.getafe@educa.madrid.org;-;Público;
Madrid-Este;28000522;IES;ANTONIO MACHADO;Calle Alalpardo, S/n ;Alcalá de Henares;-;28806;918892450;918883916;ies.machado.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28018460;IES;ARCIPRESTE DE HITA;Ronda Sur, 6 ;Madrid;Puente de Vallecas;28053;917858510;915073457;ies.arciprestedehita.madrid@educa.madrid.org;-;Público;
Madrid-Este;28028301;IES;ARQUITECTO PEDRO GUMIEL;Calle Loeches, 1 ;Alcalá de Henares;-;28806;918898162;-;ies.arquitectopedro.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28032471;IES;ARQUITECTO PERIDIS;Avenida Alemania, 19 ;Leganés;-;28916;916867274;916803344;ies.arquitectoperid.leganes@educa.madrid.org;-;Público;
Madrid-Oeste;28058640;IES;ARQUITECTO VENTURA RODRIGUEZ;Calle De Severo Ochoa, 4 ;Boadilla del Monte;-;28660;916336271;916339594;ies.arquitectoventurarodriguez.boadilla@educa.madrid.org;-;Público;
Madrid-Capital;28030575;IES;ARTURO SORIA;Calle De Somontín, 59 ;Madrid;Hortaleza;28033;913028445;917668081;ies.arturosoria.madrid@educa.madrid.org;-;Público;
Madrid-Este;28046091;IES;ATENEA;Calle Río Arlanza, 34 ;Alcalá de Henares;-;28803;918788896;918789214;ies.atenea.alcala@educa.madrid.org;-;Público;
Madrid-Norte;28058639;IES;ATENEA;Plaza Santiago De Chuco, 1 ;San Sebastián de los Reyes;-;28702;916590934;91-6513469;ies.atenea.sansebastian@educa.madrid.org;-;Público;
Madrid-Sur;28045815;IES;AVALON;Calle Dalí, 50 ;Valdemoro;-;28342;910880389;918955555;ies.avalon.valdemoro@educa.madrid.org;-;Público;
Madrid-Capital;28028428;IES;AVENIDA DE LOS TOREROS;Avenida De Los Toreros, 57 ;Madrid;Salamanca;28028;913552326;913561205;ies.avenidadelostor.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28058664;IES;BARRIO LORANCA;Calle De Federica Montseny, 2 ;Fuenlabrada;-;28942;916047233;916046650;ies.barrioloranca.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Capital;28020201;IES;BARRIO SIMANCAS;Calle De Zaratán, 6 ;Madrid;San Blas-Canillejas;28037;913041570;917545083;ies.barriosimancas.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020892;IES;BEATRIZ GALINDO;Calle De Goya, 10 ;Madrid;Salamanca;28001;914314814;915760637;ies.beatrizgalindo.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28080037;IES;BLANCA FERNANDEZ OCHOA;Calle De Monasterio De El Paular, 3 ;Madrid;Fuencarral-El Pardo;28049;919137048;-;ies.blancafdezochoa.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28030927;IES;BLAS DE OTERO;Calle De Maqueda, 130 ;Madrid;Latina;28024;917191511;917176845;ies.blasdeotero.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28028404;IES;BUTARQUE;Calle Adolfo Marsillach, 5 ;Leganés;-;28918;916802011;916803628;ies.butarque.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28041512;IES;CALATALIFA;Calle San Antonio, 2 ;Villaviciosa de Odón;-;28670;916169295;916169296;ies.calatalifa.villaviciosa@educa.madrid.org;-;Público;
Madrid-Sur;28067628;IES;CALDERON DE LA BARCA;Calle Francisco Bores, 3 ;Pinto;-;28320;916706645;916706938;ies.calderon.pinto@educa.madrid.org;-;Público;
Madrid-Capital;28020961;IES;CALDERON DE LA BARCA;Calle De Antonio De Leyva, 84 ;Madrid;Carabanchel;28019;915608300;915650795;ies.calderondelabar.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28038914;IES;CAMILO JOSE CELA;Calle Islas Cíes, 53 ;Pozuelo de Alarcón;-;28223;917155861;913529511;ies.camilojosecela.pozuelodealarcon@educa.madrid.org;-;Público;
Madrid-Este;28065841;IES;CAMPO REAL;Avenida De La Circunvalación, 3 ;Campo Real;-;28510;918765070;-;ies.camporeal@educa.madrid.org;-;Público;
Madrid-Oeste;28046352;IES;CAÑADA REAL;Calle Carmen Martín Gaite, S/n ;Galapagar;-;28260;918583336;918585657;ies.canadareal.galapagar@educa.madrid.org;-;Público;
Madrid-Capital;28020934;IES;CARDENAL CISNEROS;Calle De Los Reyes, 4 ;Madrid;Centro;28015;915224869;915216372;ies.cardenalcisneros.madrid@educa.madrid.org;secretaria.ies.cardenalcisneros.madrid@educa.madrid.org;Público;
Madrid-Este;28039670;IES;CARDENAL CISNEROS;Calle Cardenal Sandoval Y Rojas, 1 ;Alcalá de Henares;-;28802;918817263;-;ies.cardenalcisneros.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28020855;IES;CARDENAL HERRERA ORIA;Calle De Fermín Caballero, 68 ;Madrid;Fuencarral-El Pardo;28034;913781940;917385794;ies.cardenalherrera.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28039943;IES;CARLOS BOUSOÑO;Calle Pinos, 10 ;Majadahonda;-;28221;916347660;916342046;ies.carlosbousono.majadahonda@educa.madrid.org;-;Público;
Madrid-Capital;28020557;IES;CARLOS III;Calle De Arcos De Jalón, 116 ;Madrid;San Blas-Canillejas;28037;913064069;913135164;ies.carlostercero.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28044306;IES;CARMEN CONDE;Avenida De Atenas, 45bis ;Rozas de Madrid, Las;-;28232;916319487;916317252;ies.carmenconde.lasrozas@educa.madrid.org;-;Público;
Madrid-Oeste;28022207;IES;CARMEN MARTIN GAITE;Avenida Del Marqués De Santillana, 14 ;Moralzarzal;-;28411;918578517;918578929;ies.carmenmartingai.moralzarzal@educa.madrid.org;-;Público;
Madrid-Sur;28023327;IES;CARMEN MARTIN GAITE;Carretera De Cadalso De Los Vidrios, S/n ;Navalcarnero;-;28600;918110565;918113761;ies.carmenmartingai.navalcarnero@educa.madrid.org;-;Público;
Madrid-Este;28040684;IES;CARPE DIEM;Calle Álvarez Laviada, 3 ;Chinchón;-;28370;918940214;918935138;ies.carpediem.chinchon@educa.madrid.org;-;Público;
Madrid-Sur;28070962;IES;CARPE DIEM;Avenida De Nuevo Versalles, 6 Bis ;Fuenlabrada;-;28942;916045283;914869609;ies.carpediem.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Capital;28030174;IES;CELESTINO MUTIS;Calle De Huerta De Villaverde, 15 ;Madrid;Villaverde;28021;917954006;915053829;ies.celestinomutis.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28004059;IES;CERVANTES;Calle De Embajadores, 70 ;Madrid;Centro;28012;915285061;915276281;ies.cervantes.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28032481;IES;CIUDAD DE JAEN;Camino Del Río, 5 ;Madrid;Usera;28041;913173000;-;ies.ciudaddejaen.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28037016;IES;CIUDAD DE LOS ÁNGELES;Calle De Anoeta, 16 ;Madrid;Villaverde;28041;917962228;915053762;ies.ciudaddelosangeles.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28030149;IES;CIUDAD DE LOS POETAS;Calle De Valdesangil, 25 ;Madrid;Moncloa-Aravaca;28039;913736900;913168855;ies.ciudaddelospoetas.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28038884;IES;CLARA CAMPOAMOR;Avenida De Alcorcón, 1 ;Móstoles;-;28936;916462125;916470309;ies.claracampoamor.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28000364;IES;COMPLUTENSE;Calle Valladolid, 1 ;Alcalá de Henares;-;28804;918880169;918828091;ies.complutense.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28020545;IES;CONDE DE ORGAZ;Calle De Nápoles, 56 ;Madrid;Hortaleza;28043;913884579;913886113;ies.condedeorgaz.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28071310;IES;CORTES DE CADIZ;Calle Doctores El Molar, S/n ;Molar, El;-;28710;918412904;918440351;ies.cortesdecadiz.elmolar@educa.madrid.org;-;Público;
Madrid-Capital;28030186;IES;DAMASO ALONSO;Calle De Alfredo Marquerie, 21 ;Madrid;Fuencarral-El Pardo;28034;917388675;917390683;ies.damasoalonso.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28040714;IES;DE GUADARRAMA;Carretera Del Escorial, S/n ;Guadarrama;-;28440;918542212;918547122;ies.guadarrama@educa.madrid.org;-;Público;
Madrid-Norte;28041381;IES;DE LA CABRERA;Calle De Las Azucenas, 12 ;Cabrera, La;-;28751;918688411;918688437;ies.lacabrera@educa.madrid.org;-;Público;
Madrid-Oeste;28037089;IES;DIEGO VELAZQUEZ;Calle Del Instituto, 1 ;Torrelodones;-;28250;918590405;918592579;ies.velazquez.torrelodones@educa.madrid.org;-;Público;
Madrid-Sur;28028374;IES;DIONISIO AGUADO;Calle De Italia, 14 ;Fuenlabrada;-;28943;916076232;916083230;ies.dionisioaguado.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Este;28044744;IES;DOCTOR MARAÑON;Calle Alejo Carpentier, 1 ;Alcalá de Henares;-;28806;918788137;918826047;ies.maranon.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28042051;IES;DOLORES IBARRURI;Calle De Los Arados, 9 ;Fuenlabrada;-;28944;916062181;916159272;ies.doloresibarruri.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Sur;28001629;IES;DOMENICO SCARLATTI;Calle De Valeras, 22 ;Aranjuez;-;28300;918910057;918923723;ies.domenicoscarlat.aranjuez@educa.madrid.org;-;Público;
Madrid-Este;28060397;IES;DON PELAYO;Calle Joaquín Sorolla, S/n ;Villalbilla;-;28810;918793960;-;ies.donpelayo.villalbilla@educa.madrid.org;-;Público;
Madrid-Este;28044756;IES;DUQUE DE RIVAS;Paseo De La Chopera, 64 ;Rivas-Vaciamadrid;-;28523;916665259;916668388;ies.duquederivas.rivas@educa.madrid.org;-;Público;
Madrid-Capital;28020739;IES;EIJO Y GARAY;Calle De Severino Aznar Embid, 6-8 ;Madrid;Latina;28011;914632441;915262826;ies.eijogaray.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28058676;IES;EL ALAMO;Paseo Del Olivar, 62 ;Álamo, El;-;28607;918104133;918122113;ies.elalamo.elalamo@educa.madrid.org;-;Público;
Madrid-Oeste;28082307;IES;EL BOALO;Calle Manzanares El Real, 10 ;Boalo, El;-;28411;918559382;-;ies.elboalo@educa.madrid.org;-;Público;
Madrid-Oeste;28040787;IES;EL BURGO-IGNACIO ECHEVERRÍA;Avenida De España, 141 ;Rozas de Madrid, Las;-;28231;916393511;916344923;ies.burgoiecheverria.lasrozas@educa.madrid.org;-;Público;
Madrid-Este;28001769;IES;EL CARRASCAL;Avenida Del Instituto, S/n ;Arganda del Rey;-;28500;918760082;918701851;ies.elcarrascal.arganda@educa.madrid.org;-;Público;
Madrid-Oeste;28046364;IES;EL ESCORIAL;Avenida Fresneda, S/n ;Escorial, El;-;28280;918907161;918969305;ies.elescorial.elescorial@educa.madrid.org;-;Público;
Madrid-Capital;28013899;IES;EL ESPINILLO ;Calle De La Unanimidad, 15 ;Madrid;Villaverde;28041;917239150;917239151;ies.elespinillo.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28044720;IES;EL OLIVO;Calle Felipe Ii, 11 ;Parla;-;28982;916055311;916055310;ies.elolivo.parla@educa.madrid.org;-;Público;
Madrid-Sur;28041366;IES;EL PINAR;Calle Del Parque Ferial, S/n ;Alcorcón;-;28923;916439644;914861167;ies.elpinar.alcorcon@educa.madrid.org;ies.el.pinar@centros5.cnice.mecd.es;Público;
Madrid-Sur;28078547;IES;ELISA SORIANO FISCHER;Avenida Avda. De Méjico, 1 ;Getafe;-;28907;918868631;-;ies.elisasorianofischer.getafe@educa.madrid.org;-;Público;
Madrid-Capital;28018435;IES;EMILIO CASTELAR;Calle De Río De Oro, 4 ;Madrid;Carabanchel;28019;914713243;914729058;ies.emiliocastelar.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020958;IES;EMPERATRIZ MARIA DE AUSTRIA;Calle De Antonio De Leyva, 84 ;Madrid;Carabanchel;28019;914692425;915650794;ies.emperatrizmaria.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020703;IES;ENRIQUE TIERNO GALVAN;Avenida De Andalucía, 6,200 ;Madrid;Usera;28041;913171972;913173529;ies.tiernogalvan.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28037004;IES;ENRIQUE TIERNO GALVAN;Calle Agustinos, S/n ;Leganés;-;28914;916947859;916941694;ies.tiernogalvan.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28032559;IES;ENRIQUE TIERNO GALVAN;Avenida Juan Carlos I, 12 ;Parla;-;28981;916981111;916981161;ies.tiernogalvan.parla@educa.madrid.org;-;Público;
Madrid-Este;28046522;IES;EUROPA;Avenida Cerro Del Telégrafo, 2 ;Rivas-Vaciamadrid;-;28522;916702756;-;ies.europa.rivas@educa.madrid.org;-;Público;
Madrid-Sur;28042668;IES;EUROPA;Avenida De Alcorcón, 9 ;Móstoles;-;28936;916468267;-;ies.europa.mostoles@educa.madrid.org;-;Público;
Madrid-Oeste;28048476;IES;FEDERICO GARCIA LORCA;Calle Gimnasio, 1 ;Rozas de Madrid, Las;-;28290;916304199;916302479;ies.garcialorca.lasrozas@educa.madrid.org;-;Público;
Madrid-Capital;28025828;IES;FELIPE II;Calle De Valdebernardo, 1 ;Madrid;Moratalaz;28030;917731854;913713016;ies.felipesegundo.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28069391;IES;FERNANDO FERNAN GOMEZ;Calle Valdehondillo, 8 ;Humanes de Madrid;-;28970;916048205;914981062;ies.fernangomez.humanes@educa.madrid.org;-;Público;
Madrid-Capital;28030137;IES;FORTUNY;Calle De Fortuny, 24 ;Madrid;Chamberí;28010;913101839;913087018;ies.fortuny.madrid@educa.madrid.org;-;Público;
Madrid-Este;28079394;IES;FRANCISCA DE PEDRAZA;Avenida De Europa C/v Calle Jesus Guridi ;Alcalá de Henares;-;28806;676323323;-;ies.franciscadepedraza.alcala@educa.madrid.org;-;Público;
Madrid-Oeste;28046251;IES;FRANCISCO AYALA;Paseo Francisco Ayala, S/n ;Hoyo de Manzanares;-;28240;918567725;918569574;ies.franciscoayala.hoyodemanzanares@educa.madrid.org;-;Público;
Madrid-Capital;28074918;IES;FRANCISCO AYALA;Calle Del Jacobeo, 33 ;Madrid;Carabanchel;28054;915116804;915080647;ies.franciscoayala.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28045633;IES;FRANCISCO DE GOYA;Calle De Santa Irene, 4 ;Madrid;Ciudad Lineal;28017;914051101;914051597;ies.goya.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28044902;IES;FRANCISCO DE QUEVEDO;Calle De San Román Del Valle, S/n ;Madrid;San Blas-Canillejas;28037;913065604;913065606;ies.quevedo.madrid@educa.madrid.org;iesquevedo@gmail.com;Público;
Madrid-Norte;28000753;IES;FRANCISCO GINER DE LOS RIOS;Avenida De La Transición Española, 11 ;Alcobendas;-;28108;916525466;916511164;ies.ginerdelosrios.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28062035;IES;FRANCISCO UMBRAL;Avenida De La Hispanidad, S/n ;Ciempozuelos;-;28350;918092810;918092927;ies.franciscoumbral.ciempozuelos@educa.madrid.org;-;Público;
Madrid-Sur;28050549;IES;GABRIEL CISNEROS;Calle De Las Arizónicas, 20 ;Móstoles;-;28935;916478849;916478110;ies.gabrielcisneros.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28039888;IES;GABRIEL GARCIA MARQUEZ;Calle Del Nevado Del Ruiz, 1 ;Madrid;Hortaleza;28033;913812820;913816423;ies.garciamarquez.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28042036;IES;GABRIEL GARCIA MARQUEZ;Calle Beatriz Galindo, 6 ;Leganés;-;28914;914811290;916800590;ies.garciamarquez.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28050525;IES;GABRIELA MISTRAL;Calle Miguel De Cervantes, 104 ;Arroyomolinos;-;28939;916899054;916897713;ies.gabrielamistral.arroyomolinos@educa.madrid.org;-;Público;
Madrid-Sur;28030915;IES;GALILEO GALILEI;Avenida De Retamas, 2 ;Alcorcón;-;28922;916440235;916438290;ies.galileogalilei.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28021550;IES;GARCIA MORATO;Calle Del General Saliquet, 34 ;Madrid;Latina;28044;917056300;917066145;ies.garciamorato.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28033850;IES;GASPAR MELCHOR DE JOVELLANOS;Calle De Móstoles, 64 ;Fuenlabrada;-;28941;916971565;-;ies.jovellanos.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Este;28057210;IES;GASPAR SANZ;Calle Del Acueducto, 3 ;Meco;-;28880;918877200;918876962;ies.gasparsanz.meco@educa.madrid.org;-;Público;
Madrid-Oeste;28023911;IES;GERARDO DIEGO;Calle Irlanda, S/n ;Pozuelo de Alarcón;-;28224;913521003;913523965;ies.gerardodiego.pozuelodealarcon@educa.madrid.org;-;Público;
Madrid-Norte;28078043;IES;GLORIA FUERTES;Avenida Pablo Iglesias Esquina Con C/ Gloria Fuertes ;Alcobendas;-;28100;914900071;-;ies.gloriafuertes.alcobendas@educa.madrid.org;-;Público;
Madrid-Capital;28020582;IES;GÓMEZ MORENO;Avenida De Hellín, 5 ;Madrid;San Blas-Canillejas;28037;913209142;913203095;ies.gomezmoreno.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28074049;IES;GONZALO CHACON;Avenida De Francia, 165 ;Arroyomolinos;-;28939;912649246;912649255;ies.gonzalochacon.arroyomolinos@educa.madrid.org;-;Público;
Madrid-Norte;28028611;IES;GONZALO TORRENTE BALLESTER;Avenida De Aragón, 12 ;San Sebastián de los Reyes;-;28702;916526533;916522071;ies.torrenteballest.sansebastian@educa.madrid.org;-;Público;
Madrid-Capital;28021562;IES;GRAN CAPITÁN;Paseo De Los Melancólicos, 51 ;Madrid;Arganzuela;28005;913659190;913540091;ies.grancapitan.madrid@educa.madrid.org;-;Público;
Madrid-Este;28039724;IES;GRANDE COVIAN;Camino Del Molino, 8 ;Arganda del Rey;-;28500;918700363;918700453;ies.grandecovian.arganda@educa.madrid.org;-;Público;
Madrid-Capital;28020119;IES;GREGORIO MARAÑON;Avenida De El Ferrol, 43 ;Madrid;Fuencarral-El Pardo;28029;917310421;-;ies.gregoriomaranon.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28046558;IES;GREGORIO PECES-BARBA;Carretera De Villanueva Del Pardillo, S/n ;Colmenarejo;-;28270;918424540;918424541;ies.colmenarejo@educa.madrid.org;-;Público;
Madrid-Sur;28046315;IES;GRIÑON;Plaza Alba, 3 ;Griñón;-;28971;918141768;918103065;ies.grinon.grinon@educa.madrid.org;-;Público;
Madrid-Sur;28065632;IES;GUSTAVO ADOLFO BECQUER;Calle Madrid, 53 ;Moraleja de Enmedio;-;28950;916093692;916093720;ies.becquer.moraleja@educa.madrid.org;-;Público;
Madrid-Norte;28040672;IES;GUSTAVO ADOLFO BECQUER;Avenida De Europa, S/n ;Algete;-;28110;916291601;916281489;ies.becquer.algete@educa.madrid.org;-;Público;
Madrid-Sur;28030216;IES;HUMANEJOS;Avenida Juan Carlos I, 19 ;Parla;-;28981;916982906;916982860;ies.humanejos.parla@educa.madrid.org;-;Público;
Madrid-Sur;28045803;IES;HUMANES;Avenida De Los Deportes, 12 ;Humanes de Madrid;-;28970;914982020;914982011;ies.humanes.humanes@educa.madrid.org;-;Público;
Madrid-Sur;28046261;IES;IGNACIO ALDECOA;Calle Saeta, S/n ;Getafe;-;28909;919081974;-;ies.ignacioaldecoa.getafe@educa.madrid.org;-;Público;
Madrid-Este;28042000;IES;IGNACIO ELLACURIA;Calle Senda Perdida, S/n ;Alcalá de Henares;-;28805;918823430;918825565;ies.ignacioellacuria.alcala@educa.madrid.org;-;Público;
Madrid-Oeste;28042620;IES;INFANTA ELENA;Carretera De Guadarrama, 85 ;Galapagar;-;28260;918587730;918585712;ies.infantaelena.galapagar@educa.madrid.org;-;Público;
Madrid-Sur;28039839;IES;ISAAC ALBENIZ;Avenida Gran Bretaña, 18 ;Leganés;-;28916;916800443;916807914;ies.albeniz.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28038823;IES;ISAAC NEWTON;Calle De Joaquín Lorenzo, 2 ;Madrid;Fuencarral-El Pardo;28035;913732052;913732177;ies.newton.madrid@educa.madrid.org;-;Público;
Madrid-Este;28025014;IES;ISAAC PERAL;Calle Plata, 78 ;Torrejón de Ardoz;-;28850;916756936;916563524;ies.isaacperal.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Capital;28020909;IES;ISABEL LA CATOLICA;Calle De Alfonso Xii, 3 ;Madrid;Retiro;28014;915277878;915302294;ies.isabellacatolica.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28078031;IES;ISABEL LA CATOLICA;Calle De Cristóbal Colón, 12 ;Boadilla del Monte;-;28660;912760318;-;ies.isabellacatolica.boadilla@educa.madrid.org;-;Público;
Madrid-Este;28080517;IES;ISIDRA DE GUZMAN;Calle Gardenia, 29 ;Alcalá de Henares;-;28803;918808462;-;ies.isidradeguzman.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28042115;IES;ITACA;Avenida De Los Castillos, S/n ;Alcorcón;-;28925;916101411;916116403;ies.itaca.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28040741;IES;ITURRALDE;Calle De Nuestra Señora De La Luz, 53 ;Madrid;Latina;28047;914626822;914627744;ies.iturralde.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28002415;IES;JAIME FERRAN;Calle Matalpino, 22 ;Collado Villalba;-;28400;918501571;918508523;ies.jaimeferran.colladovillalba@educa.madrid.org;-;Público;
Madrid-Este;28038616;IES;JAIME FERRAN CLUA;Avenida Jean Paul Sartre, S/n ;San Fernando de Henares;-;28830;916723539;916698517;ies.jaimeferran.sanfernando@educa.madrid.org;-;Público;
